qor_publish.schedule.change_values_for_this_version_only,,Change values for this version only,
qor_seo.Product Page.title,,Product Page,
qor_seo.use_default,,Use Defaults,
qor_worker.actions.back_to_lists,,,Back To Lists
qor_worker.confirm.are_you_sure,,,Are You Sure?
qor_worker.confirm.cancel,,,cancel
qor_worker.filter.all,,,All Jobs
qor_worker.filter.done,,,Done
qor_worker.filter.errors,,,Errors
qor_worker.filter.running,,,Running
qor_worker.filter.scheduled,,,Scheduled
qor_worker.form.successfully_created,,,{{.Name}} was successfully created
qor_worker.job_groups.Export/Import Translations From CSV file,,,Export/Import Translations From CSV file
qor_worker.jobs.Export Translations,,,Export Translations
qor_worker.jobs.Status,,,Status
qor_worker.jobs.abort_job,,,Abort Job
qor_worker.jobs.job_log,,,Job Log
qor_worker.jobs.rerun_job,,,Rerun Job
recover.button,Recover,重置,
recover.confirm_email,Email Confirmation:,确认邮箱地址:,
recover.email,Email:,邮箱地址:,
recover_complete.button,Recover,重置,
recover_complete.confirm_new_password,New Password Confirmation:,确认新密码:,
recover_complete.new_password,New Password:,新密码:,
register.button,Register,注册,
register.confirm_password,Confirm Password,确认密码,
register.email,Email:,邮箱地址:,
register.name,Name:,名称,
register.password,Password:,密码:,
scheduled_events.name.plural,,Events,
scheduled_events.tables.no_items,,No events to show.,
settings.attributes.HTML Title,,HTML Title,
settings.attributes.Meta Description,,Meta Description,
settings.attributes.Meta Keywords,,Meta Keywords,
settings.attributes.Open Graph Image,,Open Graph Image,
settings.attributes.Open Graph Image URL,,Open Graph Image URL,
settings.attributes.Open Graph Metadata,,Open Graph Metadata,
settings.attributes.Open Graph Type,,Open Graph Type,
settings.attributes.Open Graph URL,,Open Graph URL,
settings.attributes.add_Open Graph Image,,Add Open Graph Image,
settings.attributes.add_Open Graph Metadatum,,Add Open Graph Metadatum,
settings.form.sections.Basic,,Basic,
settings.form.sections.Open Graph Information,,Open Graph Information,
sizes.actions.Delete,,Delete,
sizes.actions.Localize,,Localize,
sizes.attributes.Code,,Code,
sizes.attributes.ID,,ID,
sizes.attributes.Localization,,Localization,
sizes.attributes.Name,,Name,
sizes.name.plural,,Sizes,
translations.name.plural,,Translations,Translations
users.actions.Delete,,Delete,
users.attributes.Accept License,,Accept License,
users.attributes.Accept News,,Accept News,
users.attributes.Accept Private,,Accept Private,
users.attributes.Addresses,,Addresses,
users.attributes.Avatar,,Avatar,
users.attributes.Balance,,Balance,
users.attributes.Birthday,,Birthday,
users.attributes.Birthday.placeholder,,YYYY-MM-DD,
users.attributes.Confirm Token,,Confirm Token,
users.attributes.Confirmed,,Confirmed,
users.attributes.Default Billing Address,,Default Billing Address,
users.attributes.Default Billing Address.placeholder,,Select an Option,
users.attributes.Default Shipping Address,,Default Shipping Address,
users.attributes.Default Shipping Address.placeholder,,Select an Option,
users.attributes.Email,,Email,
